Primary Food,Country,Dish 1,Dish 2,Dish 3,Dish 4
Potato,France,Pommes Frites,Gratin Dauphinois,Hachis Parmentier,Pommes Anna
Rice,Japan,Sushi,Onigiri,Mochi,Tamago Kake Gohan
Egg,Greece,Avgolemono Soup,Kagianas (Scrambled Eggs),Spanakopita Filling,Feta Omelette
Wheat,Italy,Pasta Carbonara,Focaccia,Lasagna Sheets,Ciabatta Bread
Chicken,India,Butter Chicken,Tandoori Chicken,Chicken Biryani,Chicken Korma
Beef,USA,Steak with fries,BBQ Brisket,Beef Tacos,Sloppy Joes
Tomato,Mexico,Pico de Gallo,Salsa Roja,Caldo de Tomate,Chilaquiles Sauce
Corn,Thailand,Khao Phod,Corn Fritters,Sweet Corn Soup,Grilled Corn on the Cob
Fish,Germany,Rollmops,Matjes (Soused Herring),Fischbrötchen,Schollenfilet
Pork,Brazil,Feijoada,Churrasco Pork Ribs,Torresmo,Pernil Assado
Potato,India,Aloo Gobi,Samosa Filling,Batata Vada,Dum Aloo
Rice,Thailand,Mango Sticky Rice,Khao Pad (Fried Rice),Green Curry with Rice,Tom Yum Rice Soup
Wheat,USA,Sourdough Bread,Hamburger Buns,Pancakes,Bagels
Chicken,France,Coq au Vin,Poulet Rôti,Chicken Provençal,Blanquette de Poulet
Beef,Italy,Bistecca alla Fiorentina,Tagliata di Manzo,Bolognese Sauce (with beef),Polpette (Meatballs)
Tomato,Greece,Domatokeftedes (Tomato Fritters),Greek Salad (Horiatiki),Gemista,Tomato Soup
Corn,Mexico,Tortillas,Tamales,Esquites,Gorditas
Fish,Japan,Tempura,Sashimi,Grilled Mackerel,Tai Meshi
Pork,Germany,Bratwurst,Schweinshaxe,Schnitzel (Pork),Currywurst
Egg,France,Omelette Fines Herbes,Crème Brûlée,Quiche Lorraine,Soufflé
Potato,Mexico,Papas con Chorizo,Tacos de Papa,Rajas con Crema,Enchilada Filling
Rice,India,Pulao,Idli Batter,Dosa Batter,Kheer (Rice Pudding)
Wheat,Germany,Pretzels (Laugenbrezel),Black Forest Cake,Pumpernickel Bread,Spätzle
Chicken,Mexico,Pollo en Mole,Fajitas de Pollo,Tinga de Pollo,Sopa Azteca
Beef,India,Beef Curry (Kerala style),Seekh Kebab,Bhuna Gosht,Nihari
Tomato,Italy,Marinara Sauce,Caprese Salad,Bruschetta Topping,Puttanesca Sauce
Corn,USA,Cornbread,Corn Chowder,Popcorn,Grits
Fish,Thailand,Pla Pao (Grilled Fish),Fish Cakes (Tod Mun Pla),Hor Mok (Curry Custard),Fish Sauce
Pork,USA,Pulled Pork,Pork Ribs,Bacon,Pork Chops
Egg,Japan,Tamagoyaki,Chawanmushi,Onsen Tamago,Oyakodon
Potato,Germany,Kartoffelsalat (Potato Salad),Bratkartoffeln,Kartoffelknödel,Reibekuchen
Rice,Brazil,Arroz e Feijão,Risoto (Brazilian style),Arroz Doce,Mugunzá
Wheat,Brazil,Pão de Queijo (made with wheat flour sometimes),Coxinha Dough,Pastel Dough,Esfirra
Chicken,Brazil,Frango a Passarinho,Galinhada,Chicken Strogonoff,Coxinha Filling
Beef,Mexico,Carne Asada,Barbacoa,Tacos al Pastor (sometimes beef),Birria
Tomato,Thailand,Nam Prik Ong,Thai Boat Noodles,Tomatoes in Stir-fries,Som Tum (Tomato in Dressing)
Corn,Greece,Cornbread (Bobota),Corn Fritters (Kalamata),Savory Corn Pie,Grilled Corn with Feta
